,step,train_error,validation_error
0,0,0.921875,0.8880000710487366
1,391,0.4921875,0.3680000305175781
2,782,0.1875,0.2639999985694885
3,1173,0.171875,0.29600000381469727
4,1564,0.171875,0.2639999985694885
5,1955,0.1953125,0.2240000069141388
6,2346,0.1484375,0.2120000123977661
7,2737,0.1640625,0.23600001633167267
8,3128,0.1796875,0.18800000846385956
9,3519,0.125,0.19200000166893005
10,3910,0.1328125,0.1600000113248825
11,4301,0.140625,0.164000004529953
12,4692,0.1875,0.1720000058412552
13,5083,0.15625,0.164000004529953
14,5474,0.1640625,0.18000000715255737
15,5865,0.109375,0.24800001084804535
16,6256,0.1171875,0.18000000715255737
17,6647,0.1328125,0.14400000870227814
18,7038,0.0859375,0.15600000321865082
19,7429,0.171875,0.08800000697374344
20,7820,0.140625,0.1120000034570694
21,8211,0.109375,0.1680000126361847
22,8602,0.109375,0.1680000126361847
23,8993,0.1484375,0.18000000715255737
24,9384,0.125,0.15200001001358032
25,9775,0.078125,0.15600000321865082
26,10166,0.1796875,0.15200001001358032
27,10557,0.109375,0.15200001001358032
28,10948,0.109375,0.14400000870227814
29,11339,0.109375,0.14000000059604645
30,11730,0.1796875,0.17600001394748688
31,12121,0.0859375,0.13600000739097595
32,12512,0.0703125,0.14400000870227814
33,12903,0.125,0.09200000762939453
34,13294,0.125,0.14000000059604645
35,13685,0.1328125,0.15200001001358032
36,14076,0.1171875,0.14800000190734863
37,14467,0.0625,0.14800000190734863
38,14858,0.1484375,0.14400000870227814
39,15249,0.1015625,0.1680000126361847
40,15640,0.0859375,0.14800000190734863
41,16031,0.125,0.1720000058412552
42,16422,0.1015625,0.15200001001358032
43,16813,0.140625,0.1720000058412552
44,17204,0.0703125,0.15200001001358032
45,17595,0.1640625,0.1720000058412552
46,17986,0.1015625,0.164000004529953
47,18377,0.0859375,0.18400001525878906
48,18768,0.046875,0.1600000113248825
49,19159,0.09375,0.14400000870227814
50,19550,0.09375,0.13199999928474426
51,19941,0.15625,0.13199999928474426
52,20332,0.1640625,0.12800000607967377
53,20723,0.109375,0.12000000476837158
54,21114,0.1015625,0.10400000214576721
55,21505,0.0703125,0.12400000542402267
56,21896,0.1171875,0.14000000059604645
57,22287,0.140625,0.1600000113248825
58,22678,0.0859375,0.17600001394748688
59,23069,0.1015625,0.09200000762939453
60,23460,0.1953125,0.1680000126361847
61,23851,0.1328125,0.13600000739097595
62,24242,0.125,0.13600000739097595
63,24633,0.0859375,0.17600001394748688
64,25024,0.0625,0.14400000870227814
65,25415,0.1015625,0.11600000411272049
66,25806,0.1640625,0.12400000542402267
67,26197,0.1171875,0.164000004529953
68,26588,0.1015625,0.14400000870227814
69,26979,0.1171875,0.12800000607967377
70,27370,0.09375,0.13199999928474426
71,27761,0.078125,0.11600000411272049
72,28152,0.1328125,0.09200000762939453
73,28543,0.0703125,0.14800000190734863
74,28934,0.1484375,0.12000000476837158
75,29325,0.09375,0.11600000411272049
76,29716,0.1328125,0.14800000190734863
77,30107,0.0859375,0.14000000059604645
78,30498,0.1171875,0.13600000739097595
79,30889,0.0703125,0.12000000476837158
80,31280,0.1484375,0.14400000870227814
81,31671,0.1328125,0.12400000542402267
82,32062,0.15625,0.14400000870227814
83,32453,0.15625,0.14400000870227814
84,32844,0.125,0.14800000190734863
85,33235,0.0859375,0.14800000190734863
86,33626,0.0703125,0.12800000607967377
87,34017,0.078125,0.09600000083446503
88,34408,0.0390625,0.18400001525878906
89,34799,0.1171875,0.10000000149011612
90,35190,0.09375,0.13600000739097595
91,35581,0.015625,0.13199999928474426
92,35972,0.1015625,0.18400001525878906
93,36363,0.0859375,0.1600000113248825
94,36754,0.0625,0.15600000321865082
95,37145,0.15625,0.1680000126361847
96,37536,0.0546875,0.10400000214576721
97,37927,0.15625,0.13600000739097595
98,38318,0.1171875,0.12400000542402267
99,38709,0.09375,0.1120000034570694
100,39100,0.140625,0.11600000411272049
101,39491,0.078125,0.11600000411272049
102,39882,0.09375,0.14400000870227814
103,40273,0.0234375,0.09200000762939453
104,40664,0.078125,0.06000000238418579
105,41055,0.0390625,0.09200000762939453
106,41446,0.0390625,0.09200000762939453
107,41837,0.015625,0.07600000500679016
108,42228,0.0390625,0.07600000500679016
109,42619,0.0390625,0.09600000083446503
110,43010,0.0078125,0.08000000566244125
111,43401,0.015625,0.10000000149011612
112,43792,0.015625,0.08400000631809235
113,44183,0.0234375,0.08800000697374344
114,44574,0.0390625,0.09200000762939453
115,44965,0.0234375,0.07600000500679016
116,45356,0.0078125,0.10400000214576721
117,45747,0.015625,0.08400000631809235
118,46138,0.0078125,0.08400000631809235
119,46529,0.015625,0.10000000149011612
120,46920,0.015625,0.06400000303983688
121,47311,0.046875,0.06800000369548798
122,47702,0.0078125,0.08400000631809235
123,48093,0.0078125,0.10000000149011612
124,48484,0.0234375,0.07200000435113907
125,48875,0.015625,0.08000000566244125
126,49266,0.0,0.09200000762939453
127,49657,0.0078125,0.06400000303983688
128,50048,0.0,0.08800000697374344
129,50439,0.015625,0.07600000500679016
130,50830,0.0078125,0.08800000697374344
131,51221,0.0,0.08000000566244125
132,51612,0.015625,0.08800000697374344
133,52003,0.0,0.0560000017285347
134,52394,0.015625,0.06000000238418579
135,52785,0.0,0.10000000149011612
136,53176,0.015625,0.09600000083446503
137,53567,0.0078125,0.1080000028014183
138,53958,0.0078125,0.10000000149011612
139,54349,0.0,0.09600000083446503
140,54740,0.03125,0.10000000149011612
141,55131,0.0,0.07600000500679016
142,55522,0.0078125,0.09600000083446503
143,55913,0.03125,0.08800000697374344
144,56304,0.015625,0.10400000214576721
145,56695,0.03125,0.09600000083446503
146,57086,0.0078125,0.06800000369548798
147,57477,0.0078125,0.1120000034570694
148,57868,0.0,0.08800000697374344
149,58259,0.015625,0.06800000369548798
150,58650,0.0078125,0.09600000083446503
151,59041,0.0234375,0.07200000435113907
152,59432,0.015625,0.07600000500679016
153,59823,0.0234375,0.09200000762939453
154,60214,0.0078125,0.1080000028014183
155,60605,0.0078125,0.08400000631809235
156,60996,0.0,0.06400000303983688
157,61387,0.0078125,0.07200000435113907
158,61778,0.0,0.08800000697374344
159,62169,0.0078125,0.08800000697374344
160,62560,0.0,0.0560000017285347
161,62951,0.0,0.06400000303983688
162,63342,0.0,0.11600000411272049
163,63733,0.0,0.10400000214576721
164,64124,0.0,0.052000001072883606
