,step,train_error,validation_error
0,0,0.875,0.8640000224113464
1,391,0.6640625,0.6960000395774841
2,782,0.71875,0.6600000262260437
3,1173,0.6875,0.6000000238418579
4,1564,0.5234375,0.6000000238418579
5,1955,0.53125,0.5080000162124634
6,2346,0.453125,0.4480000138282776
7,2737,0.359375,0.4480000138282776
8,3128,0.375,0.36000001430511475
9,3519,0.3359375,0.3400000035762787
10,3910,0.2578125,0.29200002551078796
11,4301,0.2578125,0.3160000145435333
12,4692,0.2890625,0.29600000381469727
13,5083,0.25,0.2240000069141388
14,5474,0.265625,0.2800000011920929
15,5865,0.203125,0.22800001502037048
16,6256,0.1953125,0.22800001502037048
17,6647,0.1875,0.22800001502037048
18,7038,0.171875,0.1680000126361847
19,7429,0.2109375,0.25200000405311584
20,7820,0.1796875,0.18400001525878906
21,8211,0.125,0.24800001084804535
22,8602,0.15625,0.20000000298023224
23,8993,0.0625,0.18000000715255737
24,9384,0.0859375,0.12800000607967377
25,9775,0.1484375,0.2200000137090683
26,10166,0.078125,0.1680000126361847
27,10557,0.1171875,0.12800000607967377
28,10948,0.0390625,0.164000004529953
29,11339,0.09375,0.18800000846385956
30,11730,0.1015625,0.17600001394748688
31,12121,0.0546875,0.20000000298023224
32,12512,0.078125,0.19200000166893005
33,12903,0.0546875,0.18400001525878906
34,13294,0.0703125,0.1720000058412552
35,13685,0.0625,0.164000004529953
36,14076,0.046875,0.1680000126361847
37,14467,0.0,0.1720000058412552
38,14858,0.0390625,0.15200001001358032
39,15249,0.078125,0.19600000977516174
40,15640,0.0390625,0.15200001001358032
41,16031,0.015625,0.1680000126361847
42,16422,0.0546875,0.14400000870227814
43,16813,0.0625,0.20000000298023224
44,17204,0.046875,0.15200001001358032
45,17595,0.03125,0.17600001394748688
46,17986,0.03125,0.14800000190734863
47,18377,0.015625,0.164000004529953
48,18768,0.0625,0.2200000137090683
49,19159,0.015625,0.11600000411272049
50,19550,0.0390625,0.14800000190734863
51,19941,0.0234375,0.15600000321865082
52,20332,0.0390625,0.14000000059604645
53,20723,0.046875,0.20800000429153442
54,21114,0.03125,0.1680000126361847
55,21505,0.0390625,0.13199999928474426
56,21896,0.046875,0.1600000113248825
57,22287,0.0078125,0.15600000321865082
58,22678,0.0234375,0.19200000166893005
59,23069,0.0078125,0.12800000607967377
60,23460,0.015625,0.14000000059604645
61,23851,0.046875,0.14000000059604645
62,24242,0.015625,0.1680000126361847
63,24633,0.015625,0.14400000870227814
64,25024,0.078125,0.13199999928474426
65,25415,0.0390625,0.14800000190734863
66,25806,0.0546875,0.20800000429153442
67,26197,0.015625,0.12400000542402267
68,26588,0.015625,0.1120000034570694
69,26979,0.0390625,0.1080000028014183
70,27370,0.0,0.12800000607967377
71,27761,0.015625,0.15200001001358032
72,28152,0.0078125,0.14000000059604645
73,28543,0.0390625,0.14000000059604645
74,28934,0.015625,0.14400000870227814
75,29325,0.0078125,0.14000000059604645
76,29716,0.046875,0.13600000739097595
77,30107,0.0234375,0.13600000739097595
78,30498,0.0,0.13600000739097595
79,30889,0.0078125,0.10400000214576721
80,31280,0.0,0.11600000411272049
81,31671,0.0078125,0.12800000607967377
82,32062,0.0078125,0.12800000607967377
83,32453,0.0,0.10400000214576721
84,32844,0.0,0.12800000607967377
85,33235,0.0,0.1120000034570694
86,33626,0.0,0.10000000149011612
87,34017,0.0,0.11600000411272049
88,34408,0.0,0.11600000411272049
89,34799,0.0,0.1080000028014183
90,35190,0.0,0.12400000542402267
91,35581,0.0,0.11600000411272049
92,35972,0.0,0.10000000149011612
93,36363,0.0,0.1120000034570694
94,36754,0.0,0.12400000542402267
95,37145,0.0,0.13600000739097595
96,37536,0.0,0.09200000762939453
97,37927,0.0,0.10000000149011612
98,38318,0.0,0.1120000034570694
99,38709,0.0,0.1080000028014183
100,39100,0.0,0.08000000566244125
101,39491,0.0,0.1080000028014183
102,39882,0.0,0.1080000028014183
103,40273,0.0,0.12000000476837158
104,40664,0.0,0.13199999928474426
105,41055,0.0,0.12000000476837158
106,41446,0.0,0.13199999928474426
107,41837,0.0,0.1080000028014183
108,42228,0.0,0.10400000214576721
109,42619,0.0,0.1080000028014183
110,43010,0.0,0.10000000149011612
111,43401,0.0,0.10000000149011612
112,43792,0.0,0.12800000607967377
113,44183,0.0,0.13600000739097595
114,44574,0.0,0.12000000476837158
115,44965,0.0,0.09200000762939453
116,45356,0.0,0.10400000214576721
117,45747,0.0,0.12000000476837158
118,46138,0.0,0.10400000214576721
119,46529,0.0,0.1120000034570694
120,46920,0.0,0.12000000476837158
121,47311,0.0,0.08800000697374344
122,47702,0.0,0.12000000476837158
123,48093,0.0,0.1080000028014183
124,48484,0.0,0.10400000214576721
125,48875,0.0,0.1120000034570694
126,49266,0.0,0.10400000214576721
127,49657,0.0,0.1080000028014183
128,50048,0.0,0.10400000214576721
129,50439,0.0,0.08400000631809235
130,50830,0.0,0.11600000411272049
131,51221,0.0,0.11600000411272049
132,51612,0.0,0.10400000214576721
133,52003,0.0,0.1080000028014183
134,52394,0.0,0.12000000476837158
135,52785,0.0,0.09200000762939453
136,53176,0.0,0.12400000542402267
137,53567,0.0,0.09600000083446503
138,53958,0.0,0.09600000083446503
139,54349,0.0,0.10000000149011612
140,54740,0.0,0.08800000697374344
141,55131,0.0,0.1120000034570694
142,55522,0.0,0.13600000739097595
143,55913,0.0,0.10000000149011612
144,56304,0.0,0.10000000149011612
145,56695,0.0,0.06000000238418579
146,57086,0.0,0.10000000149011612
147,57477,0.0,0.09200000762939453
148,57868,0.0,0.1080000028014183
149,58259,0.0,0.10000000149011612
150,58650,0.0,0.10000000149011612
151,59041,0.0,0.10000000149011612
152,59432,0.0,0.10000000149011612
153,59823,0.0,0.1120000034570694
154,60214,0.0,0.10000000149011612
155,60605,0.0,0.09200000762939453
156,60996,0.0,0.08800000697374344
157,61387,0.0,0.1080000028014183
158,61778,0.0,0.12400000542402267
159,62169,0.0,0.09600000083446503
160,62560,0.0,0.1120000034570694
161,62951,0.0,0.09600000083446503
162,63342,0.0,0.1120000034570694
163,63733,0.0,0.10000000149011612
164,64124,0.0,0.10000000149011612
165,64515,0.0,0.1080000028014183
166,64906,0.0,0.08400000631809235
167,65297,0.0,0.09200000762939453
168,65688,0.0,0.12800000607967377
169,66079,0.0,0.10400000214576721
170,66470,0.0,0.14000000059604645
171,66861,0.0,0.08400000631809235
172,67252,0.0,0.12000000476837158
173,67643,0.0,0.12000000476837158
174,68034,0.0,0.08400000631809235
175,68425,0.0,0.10400000214576721
176,68816,0.0,0.11600000411272049
177,69207,0.0,0.09600000083446503
178,69598,0.0,0.09200000762939453
179,69989,0.0,0.09200000762939453
180,70380,0.0,0.1120000034570694
181,70771,0.0,0.09600000083446503
182,71162,0.0,0.12400000542402267
183,71553,0.0,0.13199999928474426
184,71944,0.0,0.10400000214576721
185,72335,0.0,0.10000000149011612
186,72726,0.0,0.10000000149011612
187,73117,0.0,0.12000000476837158
188,73508,0.0,0.12800000607967377
189,73899,0.0,0.09200000762939453
190,74290,0.0,0.13199999928474426
191,74681,0.0,0.06800000369548798
192,75072,0.0,0.11600000411272049
193,75463,0.0,0.10000000149011612
194,75854,0.0,0.11600000411272049
195,76245,0.0,0.1080000028014183
196,76636,0.0,0.08400000631809235
197,77027,0.0,0.12400000542402267
198,77418,0.0,0.09600000083446503
199,77809,0.0,0.11600000411272049
